energy_relative_fermi_ev,energy_absolute_ev,dos_states_per_ev_per_cell
-12.0,-4.1982,2.5003412761398877e-11
-11.99,-4.1882,3.79697619346542e-11
-11.98,-4.1782,5.7404542536900914e-11
-11.97,-4.168200000000001,8.640212999680244e-11
-11.96,-4.158200000000001,1.2947098134682766e-10
-11.950000000000001,-4.148200000000001,1.9314800785139764e-10
-11.940000000000001,-4.138200000000001,2.8686517509147814e-10
-11.930000000000001,-4.128200000000001,4.241653879854649e-10
-11.920000000000002,-4.118200000000002,6.243993290712751e-10
-11.910000000000002,-4.108200000000002,9.150807741080899e-10
-11.900000000000002,-4.098200000000002,1.3351382455421844e-09
-11.890000000000002,-4.088200000000002,1.939379697787329e-09
-11.880000000000003,-4.0782000000000025,2.8045891909336347e-09
-11.870000000000003,-4.068200000000003,4.0378061912798105e-09
-11.860000000000003,-4.058200000000003,5.787506424930642e-09
-11.850000000000003,-4.048200000000003,8.258616615863977e-09
-11.840000000000003,-4.038200000000003,1.1732563898237594e-08
-11.830000000000004,-4.0282000000000036,1.659389561913917e-08
-11.820000000000004,-4.018200000000004,2.336541952032905e-08
-11.810000000000004,-4.008200000000004,3.275432213043407e-08
-11.800000000000004,-3.998200000000004,4.571233993214255e-08
-11.790000000000004,-3.9882000000000044,6.351379947860559e-08
-11.780000000000005,-3.9782000000000046,8.785622512303777e-08
-11.770000000000005,-3.968200000000005,1.2098925149788645e-07
-11.760000000000005,-3.958200000000005,1.6587878530190275e-07
-11.750000000000005,-3.9482000000000053,2.264147465629838e-07
-11.740000000000006,-3.9382000000000055,3.076722868639135e-07
-11.730000000000006,-3.9282000000000057,4.1623812645437717e-07
-11.720000000000006,-3.918200000000006,5.606155582108189e-07
-11.710000000000006,-3.908200000000006,7.517237044279974e-07
-11.700000000000006,-3.8982000000000063,1.003508735233611e-06
-11.690000000000007,-3.8882000000000065,1.3336868965780326e-06
-11.680000000000007,-3.8782000000000068,1.7646412579581263e-06
-11.670000000000007,-3.868200000000007,2.324495953719851e-06
