energy_absolute_ev,energy_relative_fermi_ev,dos_states_per_ev_per_cell,integrated_states_per_cell
-12.0,-19.802,4.164e-86,4.164e-88
-11.99,-19.792,4.164e-86,8.328e-88
-11.98,-19.782,4.164e-86,1.249e-87
-11.97,-19.772,4.164e-86,1.666e-87
-11.96,-19.762,4.164e-86,2.082e-87
-11.95,-19.752,4.164e-86,2.498e-87
-11.94,-19.741999999999997,4.164e-86,2.915e-87
-11.93,-19.732,4.164e-86,3.331e-87
-11.92,-19.722,4.164e-86,3.748e-87
-11.91,-19.712,4.164e-86,4.164e-87
-11.9,-19.701999999999998,4.164e-86,4.581e-87
-11.89,-19.692,4.164e-86,4.997e-87
-11.88,-19.682000000000002,4.164e-86,5.413e-87
-11.87,-19.671999999999997,4.164e-86,5.83e-87
-11.86,-19.662,4.164e-86,6.246e-87
-11.85,-19.652,4.164e-86,6.663e-87
-11.84,-19.642,4.164e-86,7.079e-87
-11.83,-19.631999999999998,4.164e-86,7.495e-87
-11.82,-19.622,4.164e-86,7.912e-87
-11.81,-19.612000000000002,4.164e-86,8.328e-87
-11.8,-19.602,4.164e-86,8.745e-87
-11.79,-19.592,4.164e-86,9.161e-87
-11.78,-19.582,4.164e-86,9.578e-87
-11.77,-19.572,4.164e-86,9.994e-87
-11.76,-19.561999999999998,4.164e-86,1.041e-86
-11.75,-19.552,4.164e-86,1.083e-86
-11.74,-19.542,4.164e-86,1.124e-86
-11.73,-19.532,4.164e-86,1.166e-86
-11.72,-19.522,4.164e-86,1.208e-86
-11.71,-19.512,4.164e-86,1.249e-86
-11.7,-19.502,4.164e-86,1.291e-86
-11.69,-19.491999999999997,4.164e-86,1.333e-86
-11.68,-19.482,4.164e-86,1.374e-86
-11.67,-19.472,4.164e-86,1.416e-86
-11.66,-19.462,4.164e-86,1.457e-86
-11.65,-19.451999999999998,4.164e-86,1.499e-86
-11.64,-19.442,4.164e-86,1.541e-86
-11.63,-19.432000000000002,4.164e-86,1.582e-86
-11.62,-19.421999999999997,4.164e-86,1.624e-86
-11.61,-19.412,4.164e-86,1.666e-86
-11.6,-19.402,4.164e-86,1.707e-86
-11.59,-19.392,4.164e-86,1.749e-86
-11.58,-19.381999999999998,4.164e-86,1.791e-86
-11.57,-19.372,4.164e-86,1.832e-86
-11.56,-19.362000000000002,4.164e-86,1.874e-86
-11.55,-19.352,4.164e-86,1.916e-86
-11.54,-19.342,4.164e-86,1.957e-86
-11.53,-19.332,4.164e-86,1.999e-86
-11.52,-19.322,4.164e-86,2.04e-86
-11.51,-19.311999999999998,4.164e-86,2.082e-86
-11.5,-19.302,4.164e-86,2.124e-86
-11.49,-19.292,4.164e-86,2.165e-86
-11.48,-19.282,4.164e-86,2.207e-86
-11.47,-19.272,4.164e-86,2.249e-86
-11.46,-19.262,4.164e-86,2.29e-86
-11.45,-19.252,4.164e-86,2.332e-86
-11.44,-19.241999999999997,4.164e-86,2.374e-86
-11.43,-19.232,4.164e-86,2.415e-86
-11.42,-19.222,4.164e-86,2.457e-86
-11.41,-19.212,4.164e-86,2.498e-86
-11.4,-19.201999999999998,4.164e-86,2.54e-86
-11.39,-19.192,4.164e-86,2.582e-86
-11.38,-19.182000000000002,4.164e-86,2.623e-86
-11.37,-19.171999999999997,4.164e-86,2.665e-86
-11.36,-19.162,4.164e-86,2.707e-86
-11.35,-19.152,4.164e-86,2.748e-86
-11.34,-19.142,4.164e-86,2.79e-86
-11.33,-19.131999999999998,4.164e-86,2.832e-86
-11.32,-19.122,4.164e-86,2.873e-86
-11.31,-19.112000000000002,4.164e-86,2.915e-86
-11.3,-19.102,4.164e-86,2.957e-86
-11.29,-19.092,4.164e-86,2.998e-86
-11.28,-19.082,4.164e-86,3.04e-86
-11.27,-19.072,4.164e-86,3.081e-86
-11.26,-19.061999999999998,4.164e-86,3.123e-86
-11.25,-19.052,4.164e-86,3.165e-86
-11.24,-19.042,4.164e-86,3.206e-86
-11.23,-19.032,4.164e-86,3.248e-86
-11.22,-19.022,4.164e-86,3.29e-86
-11.21,-19.012,4.164e-86,3.331e-86
-11.2,-19.002,4.164e-86,3.373e-86
-11.19,-18.991999999999997,4.164e-86,3.415e-86
-11.18,-18.982,4.164e-86,3.456e-86
-11.17,-18.972,4.164e-86,3.498e-86
-11.16,-18.962,4.164e-86,3.54e-86
-11.15,-18.951999999999998,4.164e-86,3.581e-86
-11.14,-18.942,4.164e-86,3.623e-86
-11.13,-18.932000000000002,4.164e-86,3.664e-86
-11.12,-18.921999999999997,4.164e-86,3.706e-86
-11.11,-18.912,4.164e-86,3.748e-86
-11.1,-18.902,4.164e-86,3.789e-86
-11.09,-18.892,4.164e-86,3.831e-86
-11.08,-18.881999999999998,4.164e-86,3.873e-86
-11.07,-18.872,4.164e-86,3.914e-86
-11.06,-18.862000000000002,4.164e-86,3.956e-86
-11.05,-18.852,4.164e-86,3.998e-86
-11.04,-18.842,4.164e-86,4.039e-86
-11.03,-18.832,4.164e-86,4.081e-86
-11.02,-18.822,4.164e-86,4.123e-86
-11.01,-18.811999999999998,4.164e-86,4.164e-86
-11.0,-18.802,4.164e-86,4.206e-86
-10.99,-18.792,4.164e-86,4.247e-86
-10.98,-18.782,4.164e-86,4.289e-86
-10.97,-18.772,4.164e-86,4.331e-86
-10.96,-18.762,4.164e-86,4.372e-86
-10.95,-18.752,4.164e-86,4.414e-86
-10.94,-18.741999999999997,4.164e-86,4.456e-86
-10.93,-18.732,4.164e-86,4.497e-86
-10.92,-18.722,4.164e-86,4.539e-86
-10.91,-18.712,4.164e-86,4.581e-86
-10.9,-18.701999999999998,4.164e-86,4.622e-86
-10.89,-18.692,4.164e-86,4.664e-86
-10.88,-18.682000000000002,4.164e-86,4.705e-86
-10.87,-18.671999999999997,4.164e-86,4.747e-86
-10.86,-18.662,4.164e-86,4.789e-86
-10.85,-18.652,4.164e-86,4.83e-86
-10.84,-18.642,4.164e-86,4.872e-86
-10.83,-18.631999999999998,4.164e-86,4.914e-86
-10.82,-18.622,4.164e-86,4.955e-86
-10.81,-18.612000000000002,4.164e-86,4.997e-86
-10.8,-18.602,4.164e-86,5.039e-86
-10.79,-18.592,4.164e-86,5.08e-86
-10.78,-18.582,4.164e-86,5.122e-86
-10.77,-18.572,4.164e-86,5.164e-86
-10.76,-18.561999999999998,4.164e-86,5.205e-86
-10.75,-18.552,4.164e-86,5.247e-86
-10.74,-18.542,4.164e-86,5.288e-86
-10.73,-18.532,4.164e-86,5.33e-86
-10.72,-18.522,4.164e-86,5.372e-86
-10.71,-18.512,4.164e-86,5.413e-86
-10.7,-18.502,4.164e-86,5.455e-86
-10.69,-18.491999999999997,4.164e-86,5.497e-86
-10.68,-18.482,4.164e-86,5.538e-86
-10.67,-18.472,4.164e-86,5.58e-86
-10.66,-18.462,4.164e-86,5.622e-86
-10.65,-18.451999999999998,4.164e-86,5.663e-86
-10.64,-18.442,4.164e-86,5.705e-86
-10.63,-18.432000000000002,4.164e-86,5.747e-86
-10.62,-18.421999999999997,4.164e-86,5.788e-86
-10.61,-18.412,4.164e-86,5.83e-86
-10.6,-18.402,4.164e-86,5.871e-86
-10.59,-18.392,4.164e-86,5.913e-86
-10.58,-18.381999999999998,4.164e-86,5.955e-86
-10.57,-18.372,4.164e-86,5.996e-86
-10.56,-18.362000000000002,4.164e-86,6.038e-86
-10.55,-18.352,4.164e-86,6.08e-86
-10.54,-18.342,4.164e-86,6.121e-86
-10.53,-18.332,4.164e-86,6.163e-86
-10.52,-18.322,4.164e-86,6.205e-86
-10.51,-18.311999999999998,4.164e-86,6.246e-86
-10.5,-18.302,4.164e-86,6.288e-86
-10.49,-18.292,4.164e-86,6.33e-86
-10.48,-18.282,4.164e-86,6.371e-86
-10.47,-18.272,4.164e-86,6.413e-86
-10.46,-18.262,4.164e-86,6.454e-86
-10.45,-18.252,4.164e-86,6.496e-86
-10.44,-18.241999999999997,4.164e-86,6.538e-86
-10.43,-18.232,4.164e-86,6.579e-86
-10.42,-18.222,4.164e-86,6.621e-86
-10.41,-18.212,4.164e-86,6.663e-86
-10.4,-18.201999999999998,4.164e-86,6.704e-86
-10.39,-18.192,4.164e-86,6.746e-86
-10.38,-18.182000000000002,4.164e-86,6.788e-86
-10.37,-18.171999999999997,4.164e-86,6.829e-86
-10.36,-18.162,4.164e-86,6.871e-86
-10.35,-18.152,4.164e-86,6.913e-86
-10.34,-18.142,4.164e-86,6.954e-86
-10.33,-18.131999999999998,4.164e-86,6.996e-86
-10.32,-18.122,4.164e-86,7.037e-86
-10.31,-18.112000000000002,4.164e-86,7.079e-86
-10.3,-18.102,4.164e-86,7.121e-86
-10.29,-18.092,4.164e-86,7.162e-86
-10.28,-18.082,4.164e-86,7.204e-86
-10.27,-18.072,4.164e-86,7.246e-86
-10.26,-18.061999999999998,4.164e-86,7.287e-86
-10.25,-18.052,4.164e-86,7.329e-86
-10.24,-18.042,4.164e-86,7.371e-86
-10.23,-18.032,4.164e-86,7.412e-86
-10.22,-18.022,4.164e-86,7.454e-86
-10.21,-18.012,4.164e-86,7.495e-86
-10.2,-18.002,4.164e-86,7.537e-86
-10.19,-17.991999999999997,4.164e-86,7.579e-86
-10.18,-17.982,4.164e-86,7.62e-86
-10.17,-17.972,4.164e-86,7.662e-86
-10.16,-17.962,4.164e-86,7.704e-86
-10.15,-17.951999999999998,4.164e-86,7.745e-86
-10.14,-17.942,4.164e-86,7.787e-86
-10.13,-17.932000000000002,4.164e-86,7.829e-86
-10.12,-17.921999999999997,4.164e-86,7.87e-86
-10.11,-17.912,4.164e-86,7.912e-86
-10.1,-17.902,4.164e-86,7.954e-86
-10.09,-17.892,4.164e-86,7.995e-86
-10.08,-17.881999999999998,4.164e-86,8.037e-86
-10.07,-17.872,4.164e-86,8.078e-86
-10.06,-17.862000000000002,4.164e-86,8.12e-86
-10.05,-17.852,4.164e-86,8.162e-86
-10.04,-17.842,4.164e-86,8.203e-86
-10.03,-17.832,4.164e-86,8.245e-86
-10.02,-17.822,4.164e-86,8.287e-86
-10.01,-17.811999999999998,4.164e-86,8.328e-86
-10.0,-17.802,4.164e-86,8.37e-86
-9.99,-17.792,4.164e-86,8.412e-86
-9.98,-17.782,4.164e-86,8.453e-86
-9.97,-17.772,4.164e-86,8.495e-86
-9.96,-17.762,4.164e-86,8.537e-86
-9.95,-17.752,4.164e-86,8.578e-86
-9.94,-17.741999999999997,4.164e-86,8.62e-86
-9.93,-17.732,4.164e-86,8.661e-86
-9.92,-17.722,4.164e-86,8.703e-86
-9.91,-17.712,4.164e-86,8.745e-86
-9.9,-17.701999999999998,4.164e-86,8.786e-86
-9.89,-17.692,4.164e-86,8.828e-86
-9.88,-17.682000000000002,4.164e-86,8.87e-86
-9.87,-17.671999999999997,4.164e-86,8.911e-86
-9.86,-17.662,4.164e-86,8.953e-86
-9.85,-17.652,4.164e-86,8.995e-86
-9.84,-17.642,4.164e-86,9.036e-86
-9.83,-17.631999999999998,4.164e-86,9.078e-86
-9.82,-17.622,4.164e-86,9.12e-86
-9.81,-17.612000000000002,4.164e-86,9.161e-86
-9.8,-17.602,4.164e-86,9.203e-86
-9.79,-17.592,4.164e-86,9.244e-86
-9.78,-17.582,4.164e-86,9.286e-86
-9.77,-17.572,4.164e-86,9.328e-86
-9.76,-17.561999999999998,4.164e-86,9.369e-86
-9.75,-17.552,4.164e-86,9.411e-86
-9.74,-17.542,4.164e-86,9.453e-86
-9.73,-17.532,4.164e-86,9.494e-86
-9.72,-17.522,4.164e-86,9.536e-86
-9.71,-17.512,4.164e-86,9.578e-86
-9.7,-17.502,4.164e-86,9.619e-86
-9.69,-17.491999999999997,4.164e-86,9.661e-86
-9.68,-17.482,4.164e-86,9.702e-86
-9.67,-17.472,4.164e-86,9.744e-86
-9.66,-17.462,4.164e-86,9.786e-86
-9.65,-17.451999999999998,4.164e-86,9.827e-86
-9.64,-17.442,4.164e-86,9.869e-86
-9.63,-17.432000000000002,4.164e-86,9.911e-86
-9.62,-17.421999999999997,4.164e-86,9.952e-86
-9.61,-17.412,4.164e-86,9.994e-86
-9.6,-17.402,4.164e-86,1.004e-85
-9.59,-17.392,4.164e-86,1.008e-85
-9.58,-17.381999999999998,4.164e-86,1.012e-85
-9.57,-17.372,4.164e-86,1.016e-85
