energy_eV,dos,integrated_dos
-12.0,0.0,0.0
-11.95,0.0,0.0
-11.9,0.0,0.0
-11.85,0.0,0.0
-11.8,0.0,0.0
-11.75,0.0,0.0
-11.7,0.0,0.0
-11.65,0.0,0.0
-11.6,0.0,0.0
-11.55,0.0,0.0
-11.5,0.0,0.0
-11.45,0.0,0.0
-11.4,0.0,0.0
-11.35,0.0,0.0
-11.3,0.0,0.0
-11.25,0.0,0.0
-11.2,0.0,0.0
-11.15,0.0,0.0
-11.1,0.0,0.0
-11.05,0.0,0.0
-11.0,0.0,0.0
-10.95,0.0,0.0
-10.9,0.0,0.0
-10.85,0.0,0.0
-10.8,0.0,0.0
-10.75,0.0,0.0
-10.7,0.0,0.0
-10.65,0.0,0.0
-10.6,0.0,0.0
-10.55,0.0,0.0
-10.5,0.0,0.0
-10.45,0.0,0.0
-10.4,0.0,0.0
-10.35,0.0,0.0
-10.3,0.0,0.0
-10.25,0.0,0.0
-10.2,0.0,0.0
-10.15,0.0,0.0
-10.1,0.0,0.0
-10.05,0.0,0.0
-10.0,0.0,0.0
-9.95,0.0,0.0
-9.9,0.0,0.0
-9.85,0.0,0.0
-9.8,0.0,0.0
-9.75,0.0,0.0
-9.7,0.0,0.0
-9.65,0.0,0.0
-9.6,0.0,0.0
-9.55,0.0,0.0
-9.5,0.0,0.0
-9.45,0.0,0.0
-9.4,0.0,0.0
-9.35,0.0,0.0
-9.3,0.0,0.0
-9.25,0.0,0.0
-9.2,0.0,0.0
-9.15,0.0,0.0
-9.1,0.0,0.0
-9.05,0.0,0.0
-9.0,0.0,0.0
-8.95,0.0,0.0
-8.9,0.0,0.0
-8.85,0.0,0.0
-8.8,0.0,0.0
-8.75,0.0,0.0
-8.7,0.0,0.0
-8.65,0.0,0.0
-8.6,0.0,0.0
-8.55,0.0,0.0
-8.5,0.0,0.0
-8.45,0.0,0.0
-8.4,0.0,0.0
-8.35,0.0,0.0
-8.3,0.0,0.0
-8.25,0.0,0.0
-8.2,0.0,0.0
-8.15,0.0,0.0
-8.1,0.0,0.0
-8.05,0.0,0.0
-8.0,0.0,0.0
-7.95,0.0,0.0
-7.9,0.0,0.0
-7.85,0.0,0.0
-7.8,0.0,0.0
-7.75,0.0,0.0
-7.7,0.0,0.0
-7.65,0.0,0.0
-7.6,0.0,0.0
-7.55,0.0,0.0
-7.5,0.0,0.0
-7.45,0.0,0.0
-7.4,0.0,0.0
-7.35,0.0,0.0
-7.3,0.0,0.0
-7.25,0.0,0.0
-7.2,0.0,0.0
-7.15,0.0,0.0
-7.1,0.0,0.0
-7.05,0.0,0.0
-7.0,0.0,0.0
-6.95,0.0,0.0
-6.9,0.0,0.0
-6.85,0.0,0.0
-6.8,0.0,0.0
-6.75,0.0,0.0
-6.7,0.0,0.0
-6.65,0.0,0.0
-6.6,0.0,0.0
-6.55,0.0,0.0
-6.5,0.0,0.0
-6.45,0.0,0.0
-6.4,0.0,0.0
-6.35,0.0,0.0
-6.3,0.0,0.0
-6.25,0.0,0.0
-6.2,0.0,0.0
-6.15,0.0,0.0
-6.1,0.0,0.0
-6.05,0.0,0.0
-6.0,0.0,0.0
-5.95,0.0,0.0
-5.9,0.0,0.0
-5.85,0.0,0.0
-5.8,0.0,0.0
-5.75,0.0003597,9.381e-07
-5.7,0.01965,0.0003788
-5.65,0.1387,0.003296
-5.6,0.1033,0.008378
-5.55,0.13,0.0142
-5.5,0.164,0.02147
-5.45,0.1924,0.03048
-5.4,0.1858,0.04008
-5.35,0.2015,0.04975
-5.3,0.2197,0.06027
-5.25,0.2399,0.07175
-5.2,0.2606,0.08427
-5.15,0.2714,0.09765
-5.1,0.2815,0.1115
-5.05,0.2903,0.1258
-5.0,0.2962,0.1404
-4.95,0.3079,0.1555
-4.9,0.3238,0.1713
-4.85,0.3404,0.1879
-4.8,0.3573,0.2053
-4.75,0.3679,0.2235
-4.7,0.373,0.242
-4.65,0.3829,0.2609
-4.6,0.3929,0.2803
-4.55,0.403,0.3002
-4.5,0.4124,0.3206
-4.45,0.4233,0.3414
-4.4,0.4372,0.3629
-4.35,0.4525,0.3852
-4.3,0.4686,0.4082
-4.25,0.4816,0.432
-4.2,0.4907,0.4563
-4.15,0.4993,0.4811
-4.1,0.5115,0.5063
-4.05,0.5259,0.5322
-4.0,0.5405,0.5589
-3.95,0.5555,0.5863
-3.9,0.5709,0.6145
-3.85,0.5873,0.6434
-3.8,0.608,0.6733
-3.75,0.6316,0.7042
-3.7,0.6581,0.7365
-3.65,0.6858,0.7701
-3.6,0.716,0.8051
-3.55,0.7509,0.8417
-3.5,0.8495,0.881
-3.45,0.9052,0.9251
-3.4,0.9045,0.9708
-3.35,0.8746,1.015
-3.3,0.8643,1.058
-3.25,0.8564,1.101
-3.2,0.8475,1.144
-3.15,0.8257,1.186
-3.1,0.8166,1.227
-3.05,0.8215,1.268
-3.0,0.7957,1.308
-2.95,0.7679,1.347
-2.9,0.7458,1.385
-2.85,0.7231,1.422
-2.8,0.7036,1.457
-2.75,0.6877,1.492
-2.7,0.6752,1.526
-2.65,0.6628,1.56
-2.6,0.6492,1.593
-2.55,0.6366,1.625
-2.5,0.6767,1.657
-2.45,0.6065,1.688
-2.4,0.5944,1.718
-2.35,0.5816,1.748
-2.3,0.5682,1.777
-2.25,0.5541,1.805
-2.2,0.546,1.832
-2.15,0.5319,1.859
-2.1,0.5075,1.885
-2.05,0.4597,1.91
-2.0,0.3883,1.931
-1.95,0.3125,1.948
-1.9,0.2555,1.962
-1.85,0.2033,1.974
-1.8,0.1558,1.983
-1.75,0.113,1.99
-1.7,0.07612,1.994
-1.65,0.04607,1.997
-1.6,0.02304,1.999
-1.55,0.01298,2.0
-1.5,0.01431,2.0
-1.45,0.02611,2.001
-1.4,0.0482,2.003
-1.35,0.07731,2.006
-1.3,0.1117,2.011
-1.25,0.1498,2.018
-1.2,0.1916,2.026
-1.15,0.2372,2.037
-1.1,0.2864,2.05
-1.05,0.3404,2.065
-1.0,0.4199,2.084
-0.95,0.4977,2.107
-0.9,0.5468,2.134
-0.85,0.5841,2.162
-0.8,0.6167,2.192
-0.75,0.6588,2.224
-0.7,0.7468,2.259
-0.65,0.9273,2.3
-0.6,1.385,2.357
-0.55,1.474,2.432
-0.5,1.452,2.505
-0.45,1.366,2.575
-0.4,1.256,2.641
-0.35,1.13,2.701
-0.3,1.002,2.754
-0.25,0.9001,2.801
-0.2,0.8257,2.844
-0.15,0.774,2.884
-0.1,0.7308,2.922
-0.05,0.6947,2.957
0.0,0.6603,2.991
0.05,0.6282,3.023
0.1,0.5994,3.054
0.15,0.5739,3.083
0.2,0.5513,3.112
0.25,0.5326,3.139
0.3,0.5147,3.165
0.35,0.4975,3.19
0.4,0.481,3.215
0.45,0.4652,3.238
0.5,0.4501,3.261
0.55,0.4384,3.283
0.6,0.4268,3.305
0.65,0.4143,3.326
0.7,0.4014,3.346
0.75,0.3883,3.366
0.8,0.376,3.385
0.85,0.3644,3.404
0.9,0.3535,3.422
0.95,0.3433,3.439
1.0,0.3335,3.456
1.05,0.3239,3.472
1.1,0.3148,3.488
1.15,0.3063,3.504
1.2,0.2984,3.519
1.25,0.2912,3.534
1.3,0.2847,3.548
1.35,0.2782,3.562
1.4,0.273,3.576
1.45,0.2669,3.59
1.5,0.26,3.603
1.55,0.2518,3.615
1.6,0.2437,3.628
1.65,0.2359,3.64
1.7,0.2285,3.651
1.75,0.2216,3.663
1.8,0.2157,3.674
1.85,0.2354,3.685
1.9,0.2919,3.698
1.95,0.3852,3.715
2.0,0.7817,3.746
2.05,1.018,3.791
2.1,1.173,3.846
2.15,1.253,3.907
2.2,1.254,3.97
2.25,1.211,4.032
2.3,1.164,4.091
2.35,1.143,4.149
2.4,1.13,4.206
2.45,1.149,4.262
2.5,1.084,4.318
2.55,1.047,4.371
2.6,1.038,4.423
2.65,1.048,4.475
2.7,1.014,4.527
2.75,1.018,4.577
2.8,1.027,4.629
2.85,1.039,4.68
2.9,1.059,4.733
2.95,1.081,4.786
3.0,1.108,4.841
3.05,1.213,4.9
3.1,1.217,4.96
3.15,1.254,5.022
3.2,1.304,5.086
3.25,1.364,5.153
3.3,1.455,5.223
3.35,1.57,5.3
3.4,1.572,5.378
3.45,1.52,5.456
3.5,1.505,5.531
3.55,1.511,5.606
3.6,1.566,5.683
3.65,1.53,5.761
3.7,1.492,5.836
3.75,1.466,5.91
3.8,1.441,5.983
3.85,1.476,6.055
3.9,1.415,6.128
3.95,1.392,6.198
4.0,1.372,6.267
4.05,1.376,6.335
4.1,1.376,6.405
4.15,1.354,6.473
4.2,1.343,6.54
4.25,1.337,6.607
4.3,1.326,6.674
4.35,1.375,6.741
4.4,1.354,6.809
4.45,1.301,6.875
4.5,1.283,6.94
4.55,1.268,7.004
4.6,1.328,7.069
4.65,1.288,7.134
4.7,1.249,7.197
4.75,1.221,7.259
4.8,1.192,7.319
4.85,1.203,7.38
4.9,1.16,7.439
4.95,1.088,7.495
5.0,0.9516,7.547
5.05,0.8316,7.591
5.1,0.7593,7.631
5.15,0.6952,7.667
5.2,0.6388,7.7
5.25,0.6011,7.731
5.3,0.5774,7.76
5.35,0.5544,7.788
5.4,0.521,7.816
5.45,0.4572,7.84
5.5,0.4006,7.861
5.55,0.378,7.881
5.6,0.364,7.899
5.65,0.3337,7.917
5.7,0.301,7.933
5.75,0.2666,7.947
5.8,0.2268,7.959
5.85,0.183,7.97
5.9,0.1556,7.978
5.95,0.128,7.985
6.0,0.0997,7.991
6.05,0.0707,7.995
6.1,0.03652,7.999
6.15,0.0101,8.0
6.2,9.701e-05,8.0
6.25,0.0,8.0
6.3,0.0,8.0
6.35,0.0,8.0
6.4,0.0,8.0
6.45,0.0,8.0
6.5,0.0,8.0
6.55,0.0,8.0
6.6,0.0,8.0
6.65,0.0,8.0
6.7,0.0,8.0
6.75,0.0,8.0
6.8,0.001015,8.0
6.85,0.0115,8.0
6.9,0.03335,8.001
6.95,0.07478,8.004
7.0,0.1326,8.009
7.05,0.1622,8.017
7.1,0.1989,8.026
7.15,0.2261,8.036
7.2,0.2552,8.048
7.25,0.2856,8.062
7.3,0.3171,8.077
7.35,0.3493,8.094
7.4,0.3965,8.112
7.45,0.4509,8.133
7.5,0.5065,8.157
7.55,0.5177,8.186
7.6,0.5398,8.212
7.65,0.564,8.24
7.7,0.5872,8.268
7.75,0.6111,8.298
7.8,0.6402,8.33
7.85,0.6743,8.362
7.9,0.7117,8.397
7.95,0.8053,8.435
8.0,0.8188,8.476
8.05,0.8727,8.518
8.1,0.9256,8.563
8.15,0.987,8.611
8.2,1.065,8.662
8.25,1.256,8.719
8.3,1.536,8.795
8.35,1.623,8.874
8.4,1.677,8.957
8.45,1.74,9.042
8.5,1.836,9.131
8.55,2.044,9.233
8.6,2.057,9.335
8.65,2.02,9.437
8.7,1.949,9.537
8.75,1.851,9.632
8.8,1.714,9.721
8.85,1.481,9.8
8.9,1.336,9.871
8.95,1.209,9.934
9.0,1.101,9.992
9.05,1.018,10.04
9.1,0.9486,10.09
9.15,0.8894,10.14
9.2,0.8446,10.18
9.25,0.8216,10.22
9.3,0.8077,10.27
9.35,0.8412,10.31
9.4,1.076,10.35
9.45,1.22,10.41
9.5,1.604,10.48
9.55,1.772,10.57
9.6,1.802,10.66
9.65,1.984,10.75
9.7,2.262,10.86
9.75,1.954,10.97
9.8,1.928,11.06
9.85,1.938,11.16
9.9,1.881,11.25
