index,kx,ky,kz,band_1_eV,band_2_eV,band_3_eV,band_4_eV,band_5_eV,band_6_eV,band_7_eV,band_8_eV
1,0.0,0.0,0.0,-5.758,6.205,6.205,6.205,8.768,8.768,8.768,9.567
2,0.088388,0.088388,-0.088388,-5.554,4.606,5.916,5.916,8.707,9.193,9.193,10.915
3,0.176777,0.176777,-0.176777,-4.958,2.277,5.445,5.445,8.234,9.712,9.712,13.124
4,0.265165,0.265165,-0.265165,-4.065,0.256,5.117,5.117,7.871,9.658,9.658,14.094
5,-0.353553,-0.353553,0.353553,-3.427,-0.767,5.006,5.006,7.743,9.547,9.547,13.941
6,0.088388,-0.088388,0.088388,-5.554,4.606,5.916,5.916,8.707,9.193,9.193,10.915
7,0.176777,0.0,0.0,-5.485,4.871,5.398,5.398,8.217,9.909,9.909,10.601
8,0.265165,0.088388,-0.088388,-5.016,2.98,4.886,4.962,8.354,9.913,10.675,10.961
9,0.353553,0.176777,-0.176777,-4.201,0.919,4.37,4.617,8.454,9.848,10.672,11.678
10,-0.265165,-0.441942,0.441942,-3.34,-0.545,3.924,4.642,8.4,9.722,10.308,13.579
11,-0.176777,-0.353553,0.353553,-3.585,-0.174,3.743,4.939,8.566,9.831,10.076,14.124
12,-0.088388,-0.265165,0.265165,-4.508,1.578,3.893,5.431,8.925,9.883,10.065,12.507
13,0.0,-0.176777,0.176777,-5.218,3.52,4.576,5.912,9.247,9.329,9.567,11.755
14,0.176777,-0.176777,0.176777,-4.958,2.277,5.445,5.445,8.234,9.712,9.712,13.124
15,0.265165,-0.088388,0.088388,-5.016,2.98,4.886,4.962,8.354,9.913,10.675,10.961
16,0.353553,0.0,0.0,-4.676,2.687,4.314,4.314,7.337,9.342,11.964,11.964
17,0.441942,0.088388,-0.088388,-3.966,1.263,3.533,3.996,7.558,9.103,12.205,12.477
18,-0.176777,-0.53033,0.53033,-3.04,-0.179,2.67,3.999,7.727,10.658,11.952,12.127
19,-0.088388,-0.441942,0.441942,-2.836,-0.438,2.211,4.317,8.052,11.674,11.688,13.168
20,0.0,-0.353553,0.353553,-3.714,0.723,2.451,4.876,8.657,10.995,11.343,12.353
21,0.088388,-0.265165,0.265165,-4.508,1.578,3.893,5.431,8.925,9.883,10.065,12.507
22,0.265165,-0.265165,0.265165,-4.065,0.256,5.117,5.117,7.871,9.658,9.658,14.094
23,0.353553,-0.176777,0.176777,-4.201,0.919,4.37,4.617,8.454,9.848,10.672,11.678
24,0.441942,-0.088388,0.088388,-3.966,1.263,3.533,3.996,7.558,9.103,12.205,12.477
25,0.53033,0.0,0.0,-3.364,0.458,3.597,3.597,6.822,7.748,14.247,14.247
26,-0.088388,-0.618718,0.618718,-2.466,-0.627,2.768,3.521,7.102,8.175,14.473,14.561
27,0.0,-0.53033,0.53033,-2.027,-1.024,1.902,3.779,7.412,10.337,13.675,14.223
28,0.088388,-0.441942,0.441942,-2.836,-0.438,2.211,4.317,8.052,11.674,11.688,13.168
29,0.176777,-0.353553,0.353553,-3.585,-0.174,3.743,4.939,8.566,9.831,10.076,14.124
30,-0.353553,0.353553,-0.353553,-3.427,-0.767,5.006,5.006,7.743,9.547,9.547,13.941
31,-0.265165,0.441942,-0.441942,-3.34,-0.545,3.924,4.642,8.4,9.722,10.308,13.579
32,-0.176777,0.53033,-0.53033,-3.04,-0.179,2.67,3.999,7.727,10.658,11.952,12.127
33,-0.088388,0.618718,-0.618718,-2.466,-0.627,2.768,3.521,7.102,8.175,14.473,14.561
34,-0.707107,0.0,0.0,-1.614,-1.614,3.351,3.351,6.917,6.917,16.309,16.309
35,-0.088388,0.088388,0.088388,-5.554,4.606,5.916,5.916,8.707,9.193,9.193,10.915
36,0.0,0.176777,0.0,-5.485,4.871,5.398,5.398,8.217,9.909,9.909,10.601
37,0.088388,0.265165,-0.088388,-5.016,2.98,4.886,4.962,8.354,9.913,10.675,10.961
38,0.176777,0.353553,-0.176777,-4.201,0.919,4.37,4.617,8.454,9.848,10.672,11.678
39,-0.441942,-0.265165,0.441942,-3.34,-0.545,3.924,4.642,8.4,9.722,10.308,13.579
40,-0.353553,-0.176777,0.353553,-3.585,-0.174,3.743,4.939,8.566,9.831,10.076,14.124
41,-0.265165,-0.088388,0.265165,-4.508,1.578,3.893,5.431,8.925,9.883,10.065,12.507
42,-0.176777,0.0,0.176777,-5.218,3.52,4.576,5.912,9.247,9.329,9.567,11.755
43,0.0,0.0,0.176777,-5.485,4.871,5.398,5.398,8.217,9.909,9.909,10.601
44,0.088388,0.088388,0.088388,-5.554,4.606,5.916,5.916,8.707,9.193,9.193,10.915
45,0.176777,0.176777,0.0,-5.218,3.52,4.576,5.912,9.247,9.329,9.567,11.755
46,0.265165,0.265165,-0.088388,-4.508,1.578,3.893,5.431,8.925,9.883,10.065,12.507
47,-0.353553,-0.353553,0.53033,-3.585,-0.174,3.743,4.939,8.566,9.831,10.076,14.124
48,-0.265165,-0.265165,0.441942,-3.34,-0.545,3.924,4.642,8.4,9.722,10.308,13.579
49,-0.176777,-0.176777,0.353553,-4.201,0.919,4.37,4.617,8.454,9.848,10.672,11.678
50,-0.088388,-0.088388,0.265165,-5.016,2.98,4.886,4.962,8.354,9.913,10.675,10.961
51,0.088388,-0.088388,0.265165,-5.016,2.98,4.886,4.962,8.354,9.913,10.675,10.961
52,0.176777,0.0,0.176777,-5.218,3.52,4.576,5.912,9.247,9.329,9.567,11.755
53,0.265165,0.088388,0.088388,-5.016,2.98,4.886,4.962,8.354,9.913,10.675,10.961
54,0.353553,0.176777,0.0,-4.429,1.914,3.491,4.777,8.654,10.108,10.404,11.709
55,-0.265165,-0.441942,0.618718,-3.54,0.362,2.883,4.275,9.085,9.762,11.227,12.145
56,-0.176777,-0.353553,0.53033,-2.888,-0.583,2.754,4.045,9.274,9.341,12.119,13.329
