index,kx_cart_2pi_over_alat,ky_cart_2pi_over_alat,kz_cart_2pi_over_alat,band_1_ev,band_2_ev,band_3_ev,band_4_ev,fermi_ev
0,0.0,0.0,0.0,-3.2532,20.4207,20.4207,20.4207,7.8018
1,-0.125,0.125,-0.125,-2.8306,16.1289,19.4677,19.4677,7.8018
2,-0.25,0.25,-0.25,-1.5701,11.2687,18.7018,18.7018,7.8018
3,-0.375,0.375,-0.375,0.5064,6.9766,18.6101,18.6101,7.8018
4,0.5,-0.5,0.5,3.2691,3.4705,19.1836,19.1836,7.8018
5,0.375,-0.375,0.375,0.5064,6.9766,18.6101,18.6101,7.8018
6,0.25,-0.25,0.25,-1.5701,11.2687,18.7018,18.7018,7.8018
7,0.125,-0.125,0.125,-2.8306,16.1289,19.4677,19.4677,7.8018
8,0.125,0.125,0.125,-2.8306,16.1289,19.4677,19.4677,7.8018
9,0.0,0.25,0.0,-2.6899,17.7115,17.7115,17.9822,7.8018
10,-0.125,0.375,-0.125,-1.7096,13.1258,16.6493,18.1733,7.8018
11,-0.25,0.5,-0.25,0.0932,8.6717,16.3021,17.0303,7.8018
12,0.625,-0.375,0.625,2.6858,4.8512,15.4059,16.6736,7.8018
13,0.5,-0.25,0.5,1.7376,6.0426,14.5263,17.7646,7.8018
14,0.375,-0.125,0.375,-0.5974,10.0697,14.4266,19.5556,7.8018
15,0.25,0.0,0.25,-2.1289,14.2719,15.501,21.5185,7.8018
16,0.25,0.25,0.25,-1.5701,11.2687,18.7018,18.7018,7.8018
17,0.125,0.375,0.125,-1.7096,13.1258,16.6493,18.1733,7.8018
18,0.0,0.5,0.0,-1.0136,15.3153,15.3266,15.3266,7.8018
19,-0.125,0.625,-0.125,0.5049,11.0548,13.4053,14.7303,7.8018
20,0.75,-0.25,0.75,2.8155,7.0881,11.483,14.8566,7.8018
21,0.625,-0.125,0.625,3.7613,5.8707,10.3622,15.7059,7.8018
22,0.5,0.0,0.5,1.1914,9.0794,10.5765,17.2785,7.8018
23,0.375,0.125,0.375,-0.5974,10.0697,14.4266,19.5556,7.8018
24,0.375,0.375,0.375,0.5064,6.9766,18.6101,18.6101,7.8018
25,0.25,0.5,0.25,0.0932,8.6717,16.3021,17.0303,7.8018
26,0.125,0.625,0.125,0.5049,11.0548,13.4053,14.7303,7.8018
27,0.0,0.75,0.0,1.7308,10.4183,13.6576,13.8886,7.8018
28,0.875,-0.125,0.875,3.7269,8.2117,10.0447,13.7707,7.8018
29,0.75,0.0,0.75,5.9648,6.4896,7.4341,14.3755,7.8018
