index,kx_cart_2pi_over_alat,ky_cart_2pi_over_alat,kz_cart_2pi_over_alat,band_1_ev,band_2_ev,band_3_ev,band_4_ev,fermi_ev
0,0.0,0.0,0.0,-3.2532,20.4207,20.4207,20.4207,7.8018
1,-0.0625,0.0,0.0,-3.218,19.9745,19.9745,20.1485,7.8018
2,-0.125,0.0,0.0,-3.1122,19.2148,19.2148,19.5151,7.8018
3,-0.1875,0.0,0.0,-2.9361,18.4441,18.4441,18.7564,7.8018
4,-0.25,0.0,0.0,-2.6899,17.7115,17.7115,17.9822,7.8018
5,-0.3125,0.0,0.0,-2.3741,17.0298,17.0298,17.2361,7.8018
6,-0.375,0.0,0.0,-1.989,16.4038,16.4038,16.5374,7.8018
7,-0.4375,0.0,0.0,-1.5353,15.8357,15.8357,15.8955,7.8018
8,-0.5,0.0,0.0,-1.0136,15.3153,15.3266,15.3266,7.8018
9,-0.5625,0.0,0.0,-0.4249,14.5792,14.8,14.8772,7.8018
10,-0.625,0.0,0.0,0.2298,13.1367,14.3512,14.4877,7.8018
11,-0.6875,0.0,0.0,0.9491,11.7485,13.9702,14.1581,7.8018
12,-0.75,0.0,0.0,1.7308,10.4183,13.6576,13.8886,7.8018
13,-0.8125,0.0,0.0,2.5708,9.1509,13.4141,13.679,7.8018
14,-0.875,0.0,0.0,3.4593,7.9568,13.2399,13.5293,7.8018
15,-0.9375,0.0,0.0,4.3563,6.8764,13.1353,13.4396,7.8018
16,-1.0,0.0,0.0,4.9302,6.2414,13.1005,13.4097,7.8018
17,-1.0,0.0312,0.0,4.9382,6.2499,12.7188,13.3401,7.8018
18,-1.0,0.0625,0.0,4.9625,6.2755,12.2323,13.149,7.8018
19,-1.0,0.0938,0.0,5.0028,6.3182,11.7549,12.8733,7.8018
20,-1.0,0.125,0.0,5.0594,6.3778,11.2921,12.5472,7.8018
21,-1.0,0.1562,0.0,5.132,6.4542,10.8449,12.1943,7.8018
22,-1.0,0.1875,0.0,5.2209,6.5472,10.4139,11.8295,7.8018
23,-1.0,0.2188,0.0,5.326,6.6566,9.999,11.4621,7.8018
24,-1.0,0.25,0.0,5.4472,6.7821,9.6005,11.0981,7.8018
25,-1.0,0.2812,0.0,5.5846,6.9231,9.2183,10.7417,7.8018
26,-1.0,0.3125,0.0,5.7383,7.0789,8.8525,10.3961,7.8018
27,-1.0,0.3438,0.0,5.9081,7.2481,8.5031,10.0642,7.8018
28,-1.0,0.375,0.0,6.0943,7.4285,8.17,9.7494,7.8018
29,-1.0,0.4062,0.0,6.2967,7.6157,7.8534,9.4571,7.8018
30,-1.0,0.4375,0.0,6.5153,7.5531,7.7992,9.1981,7.8018
31,-1.0,0.4688,0.0,6.7503,7.2691,7.9532,8.9987,7.8018
32,-1.0,0.5,0.0,7.0015,7.0015,8.0199,8.9169,7.8018
33,-0.9844,0.5156,0.0,6.8759,7.0835,8.0303,8.9659,7.8018
34,-0.9688,0.5312,0.0,6.7584,7.0876,8.03,9.1267,7.8018
35,-0.9531,0.5469,0.0,6.649,7.0477,7.9979,9.3867,7.8018
36,-0.9375,0.5625,0.0,6.5477,6.9879,7.9429,9.7127,7.8018
37,-0.9219,0.5781,0.0,6.4546,6.921,7.8775,10.0792,7.8018
38,-0.9062,0.5938,0.0,6.3695,6.8534,7.8096,10.4715,7.8018
39,-0.8906,0.6094,0.0,6.2926,6.7885,7.7436,10.8817,7.8018
40,-0.875,0.625,0.0,6.2238,6.7283,7.6817,11.305,7.8018
41,-0.8594,0.6406,0.0,6.1631,6.6738,7.6255,11.7381,7.8018
42,-0.8438,0.6562,0.0,6.1104,6.6257,7.5757,12.1781,7.8018
43,-0.8281,0.6719,0.0,6.0659,6.5846,7.533,12.622,7.8018
44,-0.8125,0.6875,0.0,6.0295,6.5506,7.4976,13.0652,7.8018
45,-0.7969,0.7031,0.0,6.0012,6.524,7.47,13.4993,7.8018
46,-0.7812,0.7188,0.0,5.9809,6.5049,7.4501,13.9054,7.8018
47,-0.7656,0.7344,0.0,5.9688,6.4934,7.4381,14.2348,7.8018
48,-0.75,0.75,0.0,5.9648,6.4896,7.4341,14.3755,7.8018
49,-0.7031,0.7031,0.0,5.3881,6.3897,7.8352,14.7722,7.8018
50,-0.6562,0.6562,0.0,4.3126,6.888,8.3461,15.2371,7.8018
51,-0.6094,0.6094,0.0,3.2973,7.4596,8.9343,15.7704,7.8018
52,-0.5625,0.5625,0.0,2.3484,8.1047,9.5935,16.3718,7.8018
53,-0.5156,0.5156,0.0,1.4688,8.8234,10.32,17.0407,7.8018
54,-0.4688,0.4688,0.0,0.6606,9.6157,11.1103,17.7762,7.8018
55,-0.4219,0.4219,0.0,-0.0748,10.4814,11.9604,18.5761,7.8018
56,-0.375,0.375,0.0,-0.736,11.4201,12.8658,19.4358,7.8018
57,-0.3281,0.3281,0.0,-1.322,12.431,13.8206,20.3437,7.8018
58,-0.2812,0.2812,0.0,-1.8318,13.5127,14.8175,21.2618,7.8018
59,-0.2344,0.2344,0.0,-2.2646,14.6626,15.8472,21.3859,7.8018
60,-0.1875,0.1875,0.0,-2.6197,15.8757,16.8971,21.039,7.8018
61,-0.1406,0.1406,0.0,-2.8965,17.1418,17.9493,20.7687,7.8018
62,-0.0938,0.0938,0.0,-3.0946,18.4363,18.9752,20.5755,7.8018
63,-0.0469,0.0469,0.0,-3.2135,19.6804,19.9076,20.4594,7.8018
